DURATION;POPULARITY;KEY;TEMPO;LOUDNESS;MODE;PLAYLISTID;MOOD;PLAYLIST;PLAYLISTDESCRIPTION;URI;ARTIST;SONG;DANCEABILITY;ENERGY;INSTRUMENTALNESS;ACOUSTICNESS
0.04550138507513351;0.2916666666666667;0.2727272727272727;0.8801989226430704;0.5419636300807741;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:6FvSJjsxM3o5ctpexdB31e;Michael Andrews;Mad World;0.353;0.0811;2.27E-6;0.966
0.35698568856722007;0.7083333333333334;0.18181818181818182;0.0370320336378528;0.6275322880221157;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:0Uro2xUVsEHQNKR5QL4Lku;Radiohead;Fake Plastic Trees;0.454;0.229;0.102;0.167
0.6013105174786177;0.75;0.8181818181818182;0.6711697259325553;0.5062848257094726;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:6LK4QAJzm6wPWITxSftVhG;The Cinematic Orchestra;To Build A Home;0.264;0.122;0.349;0.885
0.15157934934807513;0.625;0.6363636363636364;0.046480014860095654;0.7163837415230444;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:27bQfFb46hdVoU21UQtnDy;Counting Crows;Speedway;0.555;0.414;0.00976;0.536
0.2317955059312736;0.875;0.5454545454545454;0.5720967932589203;0.7048075677076584;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:5TB6QgrF0RPIxSCGfRDLoe;Coldplay;We Never Change;0.434;0.286;1.64E-4;0.533
0.21862062276857425;0.7638888888888888;0.8181818181818182;0.07375166753913438;0.6057621701006436;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:282mpJjzXHueMKalP5ifxT;RHODES;Blank Space;0.397;0.141;3.67E-4;0.93
0.3031192983094203;0.5833333333333334;0.6363636363636364;0.4561880477549435;0.652455617467928;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:3NP2tM8rPsXWoaSiWv8zy9;Ryan Adams;Harder Now That It's Over;0.67;0.311;3.43E-6;0.138
0.2385420644590327;0.3194444444444444;0.8181818181818182;0.6858440703152703;0.6224353159690726;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:1JDMO4EVPHtm0xXhJb2IjR;Daughter;Youth;0.588;0.477;0.00188;0.61
0.40079285701296574;0.7777777777777778;0.45454545454545453;0.05797970246035904;0.6686968165522008;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:2sW8fmnISifQTRgnRrQTYW;Portishead;Roads;0.55;0.279;0.0564;0.804
0.2359173925430222;0.7638888888888888;0.0;0.30241138823688346;0.5890890242322147;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:33xh6sgYhga7iQ7HARN7V6;The National;About Today;0.556;0.618;0.694;0.326
0.3527031696095725;0.6111111111111112;0.8181818181818182;0.4163866326685692;0.8073517342663385;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:6Pxqd7tcXE0t4mfK7PGDra;Beck;Guess I'm Doing Fine;0.434;0.409;1.22E-4;0.147
0.13646475483867057;0.9305555555555556;0.0;0.5657137067495229;0.5094380372338129;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:08YEGpKt2LHJ0URCXKHEie;Damien Rice;9 Crimes;0.346;0.139;7.73E-5;0.913
0.2100525540542998;0.9305555555555556;0.2727272727272727;0.721846029146051;0.8244136322405079;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:6iWwfN1euztxZi1OK38HbU;Iron & Wine;Flightless Bird, American Mouth;0.359;0.391;0.0708;0.795
0.3022706745952368;0.7638888888888888;0.8181818181818182;0.5339249227443893;0.7222582177875687;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:1HLcVnTSVC1WtKkNgjSNgp;Keaton Henson;Flesh And Bone;0.52;0.105;0.0;0.575
0.17162202299770266;0.625;0.8181818181818182;0.7238639625795774;0.6242494924625287;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:2w5tU6w3rxxoE6UpnLI3aS;The Civil Wars;Girl with the Red Balloon;0.321;0.166;1.21E-6;0.9
0.30877780000363697;0.6666666666666666;0.18181818181818182;0.14873604755230582;0.8337436827782817;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:2IJRqE4cjMYT9Osiw967Wo;Hurray For The Riff Raff;I'm so Lonesome I Could Cry;0.359;0.229;5.36E-4;0.966
0.23623865723482024;0.9305555555555556;0.6363636363636364;0.42710954254546674;0.5150533454278433;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:2fSIF8CJhoc9CJhF9vJDXp;Ray LaMontagne;Jolene;0.587;0.142;1.62E-4;0.862
0.38769980542270555;0.875;0.18181818181818182;0.00892450058258331;0.7367716297352167;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:7CEV9VwA8XO9wwxTXgYKvY;The Avett Brothers;I And Love And You;0.494;0.268;9.74E-5;0.816
0.11427930631072963;0.7916666666666666;0.0;0.3677789223053411;0.5461967085655048;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:1nkmSCRaSVcr1B01ZcBHaw;William Fitzsimmons;I Don't Feel It Anymore (Song of the Sparrow);0.478;0.203;0.00337;0.935
0.3400556454692586;0.8194444444444444;0.9090909090909091;0.5898613620628513;0.8498552978273077;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:1QUpqu8865jfasDr8M3IKN;Christina Perri;A Thousand Years;0.421;0.407;9.61E-4;0.309
0.23801773623562644;0.7916666666666666;0.2727272727272727;0.6986102433340649;0.7031229752494492;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:3rWHqGRVWPDw7SaNadmqGd;Peter Bradley Adams;The Longer I Run;0.606;0.531;0.234;0.708
0.2855800646166342;0.7083333333333334;0.8181818181818182;0.975084010199429;0.8069197874821823;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:3psWpbEkxhWgFNtKq9CRK7;Matthew Perryman Jones;Save You;0.317;0.348;5.79E-6;0.747
0.43631382104950506;0.9027777777777778;0.18181818181818182;1.0;0.8896375966480929;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:0sSxUKtpE11r5VVx1DIMww;R.E.M.;Everybody Hurts;0.282;0.476;0.0185;0.568
0.3444593963860753;0.6527777777777778;0.5454545454545454;0.5286901163477936;0.6804025744028336;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:33cn39u2bVd0sXXKJE0KxR;The Replacements;Here Comes A Regular;0.455;0.363;0.0;0.322
0.732441066113849;0.4166666666666667;0.0;0.0;0.6895598462269449;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:5qv0ohJV2QNwga79jLNDYQ;Jeff Buckley;Hallelujah;0.26;0.133;7.16E-4;0.92
0.04975056524400963;0.9027777777777778;1.0;0.1687634036373461;0.759189667832923;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:2bbhyUWJ5VjdfI3P4PRLu2;Regina Spektor;Samson;0.49;0.193;9.74E-6;0.862
0.2994429391476181;0.8194444444444444;0.18181818181818182;0.23400428916395075;0.7288238089067427;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:4jKq1e80xAYixkIwt6YyV1;Ben Folds Five;Brick;0.542;0.454;0.00279;0.645
0.16859122401847576;0.875;0.8181818181818182;0.2527482733582127;0.5894345816595395;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:1UmFRZU3taMGZApPhK32mc;Agnes Obel;Riverside;0.648;0.177;3.53E-4;0.985
0.2981487879834882;0.3611111111111111;0.0;0.4294314324794407;0.8462701395188114;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:1ZGRG4rjkltlWg6jxcaWKW;Sia;Breathe Me;0.55;0.625;0.62;0.034
0.2803701211713432;0.9305555555555556;0.09090909090909091;0.3614633816849322;0.8774566973348884;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:2dBwB667LHQkLhdYlwLUZK;Lana Del Rey;Summertime Sadness;0.565;0.656;2.25E-6;0.0701
0.20558515635891933;0.6666666666666666;0.0;0.4282831523666391;0.9619886829942551;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:5qR5b6Coq6srVHsa7vi7a0;Lykke Li;Sadness Is A Blessing;0.313;0.733;5.0E-4;0.00497
0.0;0.75;0.5454545454545454;0.23630929262567754;0.20180553755777292;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:6jrNtWLvTRQhIzWkeU9IFX;The Smashing Pumpkins;Mellon Collie and the Infinite Sadness;0.273;0.0332;0.771;0.957
0.4043479842155989;0.6805555555555556;0.6363636363636364;0.3277579830797548;1.0;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:2eMVogxm08LgfgnWpahooV;John Mayer;Split Screen Sadness;0.634;0.789;1.73E-5;0.0248
0.1525098046346978;1.0;0.45454545454545453;0.4275992502406322;0.9061379638028596;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:6oDPg7fXW3Ug3KmbafrXzA;Miley Cyrus;Wrecking Ball;0.466;0.403;0.0;0.395
0.6277784849642063;0.6666666666666666;0.36363636363636365;0.19820496800013512;0.9282536391516566;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:48Twapc7cyx0pqZGFDB2Fe;Blue October;Hate Me;0.378;0.691;0.0;0.48
0.06449540227794852;0.18055555555555555;0.6363636363636364;0.3597071885712356;0.775301282881949;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:7r75c8engiRJHkihkwLjLr;Maroon 5;Sad;0.572;0.27;0.0;0.796
0.341743800500688;0.20833333333333334;0.45454545454545453;0.6065620831152163;0.6983283659453157;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:1oWSkX6hHx8ea2Wr0SE39g;Bear's Den;When You Break;0.507;0.505;0.00285;0.587
0.21652027907597002;0.8055555555555556;0.36363636363636365;0.4525405697495735;0.8029026823895297;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:7otCGmgp9h4CsR2LhwB6gt;Tom Odell;Another Love;0.445;0.537;1.6E-5;0.695
0.5236796324246998;0.8055555555555556;0.2727272727272727;0.17531535486921435;0.6488704591594315;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:7EvZucbeXRDEwT4cFpHEi8;Jason Mraz;Details in the Fabric (feat. James Morrison);0.538;0.338;5.68E-5;0.755
0.26149733592769725;0.20833333333333334;0.2727272727272727;0.5650889072763808;0.7369444084488791;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:2EBuFjexd3S3wc9m4Rerh8;Alice In Chains;Nutshell;0.384;0.562;0.267;0.37
0.519115249161984;0.9722222222222222;0.36363636363636365;0.06895590942096287;0.6966869681655221;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:5Xak5fmy089t0FYmh3VJiY;Pearl Jam;Black;0.38;0.534;0.0;0.323
0.1795021003436926;0.5555555555555556;0.7272727272727273;0.3102973707762711;0.6130620707528833;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:1UHoHmHWdu0EX557Oqoq2P;Nirvana;Something In The Way;0.432;0.194;0.313;0.745
0.6074115158238015;0.75;1.0;0.09084922068930583;0.4377780657423006;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:4pFnV6aV1bnEDqPDGBlrNp;Nine Inch Nails;Hurt;0.485;0.193;0.0262;0.697
0.4852491013681027;0.1527777777777778;0.6363636363636364;0.3789830966412807;0.9347328409139994;1.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:00KKbnAYtHieLgUoKCvhv8;Frightened Rabbit;Keep Yourself Warm;0.261;0.572;0.00134;0.00363
0.38054711983173006;0.6805555555555556;0.6363636363636364;0.6853881355645992;0.7265776856291306;0.0;1rg0arh9uWqGOYH7gEtQ6a;NONE;Melancholia;Sad songs for when you just want to wallow...;spotify:track:58zUb6qAU53hg0revACyHZ;Bat For Lashes;Siren Song;0.233;0.435;0.0014;0.34
